"","VARIABLE","LEVEL"
"1568","HRV_FIRE","0"
"1578","HRV_HUNT","-2"
"1583","HRV_HUNT","0"
"1593","HRV_MATURE","-2"
"1598","HRV_MATURE","0"
"1608","HRV_MONEY","-2"
"1613","HRV_MONEY","0"
"1623","HRV_OTHER","-2"
"1628","HRV_OTHER","0"
"1638","HRV_PLAN","-2"
"1643","HRV_PLAN","0"
"1653","HRV_POSTS","-2"
"1658","HRV_POSTS","0"
"1668","HRV_PRICE","-2"
"1673","HRV_PRICE","0"
"1683","HRV_PULP","-2"
"1688","HRV_PULP","0"
"1698","HRV_REASON_OTHER","-2"
"1703","HRV_REASON_OTHER","0"
"1733","HRV_RECREATE","-2"
"1738","HRV_RECREATE","0"
"1748","HRV_REMAINING_TREES","-2"
"1753","HRV_REMAINING_TREES","0"
"1763","HRV_SALVAGE","-2"
"1768","HRV_SALVAGE","0"
"1783","HRV_SAW","0"
"1793","HRV_USE","-2"
"1798","HRV_USE","0"
"1808","HRV_VENEER","-2"
"1813","HRV_VENEER","0"
"2298","LEASE_GRAZE_2","0"
"2308","LEASE_HUNT_2","-2"
"2313","LEASE_HUNT_2","0"
"2323","LEASE_NTFP_2","-2"
"2328","LEASE_NTFP_2","0"
"2338","LEASE_OTHER_2","-2"
"2343","LEASE_OTHER_2","0"
"2373","LEASE_RECREATE_2","-2"
"2378","LEASE_RECREATE_2","0"
"2388","LEASE_TIMBER_2","-2"
"2393","LEASE_TIMBER_2","0"
"2428","MANAGER_FAMILY","0"
"2438","MANAGER_FORESTER","0"
"2448","MANAGER_LEASEE","0"
"2458","MANAGER_LOGGER","0"
"2468","MANAGER_OTHER","0"
"2478","MANAGER_OWNER","0"
"2488","MANAGER_PARTNER","0"
"2498","NOT_ORGANIZATION","0"
"2503","NOT_ORGANIZATION","1"
"2518","NTFP_CULTURAL","-2"
"2523","NTFP_CULTURAL","0"
"2533","NTFP_DECORATIVE","-2"
"2538","NTFP_DECORATIVE","0"
"2553","NTFP_EDIBLE","0"
"2563","NTFP_MEDICINAL","-2"
"2568","NTFP_MEDICINAL","0"
"2578","NTFP_OTHER","-2"
"2583","NTFP_OTHER","0"
"2593","NTFP_PERSONAL","-2"
"2598","NTFP_PERSONAL","0"
"2633","NTFP_SALE","0"
"2958","OBJ_OTHER","1"
"2963","OBJ_OTHER","2"
"2968","OBJ_OTHER","3"
"2973","OBJ_OTHER","4"
"2978","OBJ_OTHER","5"
"2983","OBJ_OTHER","6"
"2988","OBJ_OTHER","7"
"3098","OCC_NWOS_1","-2"
"3103","OCC_NWOS_1","0"
"3108","OCC_NWOS_1","1"
"3113","OCC_NWOS_1","10"
"3118","OCC_NWOS_1","11"
"3123","OCC_NWOS_1","12"
"3128","OCC_NWOS_1","13"
"3133","OCC_NWOS_1","2"
"3138","OCC_NWOS_1","3"
"3143","OCC_NWOS_1","4"
"3148","OCC_NWOS_1","5"
"3153","OCC_NWOS_1","6"
"3158","OCC_NWOS_1","7"
"3163","OCC_NWOS_1","8"
"3168","OCC_NWOS_1","9"
"3173","OCC_NWOS_1","99"
"3178","OCC_NWOS_2","-2"
"3183","OCC_NWOS_2","0"
"3188","OCC_NWOS_2","1"
"3193","OCC_NWOS_2","10"
"3198","OCC_NWOS_2","11"
"3203","OCC_NWOS_2","12"
"3208","OCC_NWOS_2","13"
"3213","OCC_NWOS_2","2"
"3218","OCC_NWOS_2","3"
"3223","OCC_NWOS_2","4"
"3228","OCC_NWOS_2","5"
"3233","OCC_NWOS_2","6"
"3238","OCC_NWOS_2","7"
"3243","OCC_NWOS_2","8"
"3248","OCC_NWOS_2","9"
"3253","OCC_NWOS_2","99"
"3258","OWNER_BIZ_PARTNER","0"
"3268","OWNER_CLUB","0"
"3278","OWNER_FAM_PARTNER","0"
"3288","OWNER_FMC","0"
"3298","OWNER_FOREST_INDUSTRY","0"
"3308","OWNER_INDIV_JOINT","0"
"3318","OWNER_NPO","0"
"3328","OWNER_OTHER","0"
"3338","OWNER_OTHER_CORP","0"
"3348","OWNER_TIMO","0"
"3358","OWNER_TRUST","0"
"3368","PARCELS_NUM",NA
"3380","RACE_ASIAN","-2"
"3385","RACE_ASIAN","0"
"3395","RACE_BLACK","-2"
"3400","RACE_BLACK","0"
"3410","RACE_HAWAIIAN","-2"
"3415","RACE_HAWAIIAN","0"
"3425","RACE_INDIAN","-2"
"3430","RACE_INDIAN","0"
"3440","RACE_WHITE","-2"
"3445","RACE_WHITE","0"
"3455","REGION_1",NA
"3457","REGION_2",NA
"3459","REGION_3",NA
"3461","REGION_4",NA
"3463","REGION_5",NA
"3465","REGION_6",NA
"3467","REGION_7",NA
"3469","REGION_8",NA
"3471","REGION_9",NA
"3473","RESTRICT_HARVESTING","-2"
"3478","RESTRICT_HARVESTING","0"
"3493","RESTRICT_LAND_USE","0"
"3503","RESTRICT_OTHER","-2"
"3508","RESTRICT_OTHER","0"
"3518","RESTRICT_SUBDIVISION","-2"
"3523","RESTRICT_SUBDIVISION","0"
"3533","RETIRED","-2"
"3548","ROAD_MAINTENANCE","0"
"3568","SITE_PREP","0"
"3578","TENURE",NA
"3610","TOTAL","1"
"3635","TREE_PLANTING","0"
"3650","TRN_DEVELOPER","0"
"3660","TRN_FAMILY","-2"
"3665","TRN_FAMILY","0"
"3675","TRN_FOREST_INDUSTRY","-2"
"3680","TRN_FOREST_INDUSTRY","0"
"3690","TRN_GOV","-2"
"3695","TRN_GOV","0"
"3705","TRN_INDIVIDUAL","-2"
"3710","TRN_INDIVIDUAL","0"
"3720","TRN_LOGGER","-2"
"3725","TRN_LOGGER","0"
"3735","TRN_OTHER","-2"
"3740","TRN_OTHER","0"
"3765","TRN_TIMO","-2"
"3770","TRN_TIMO","0"
"3780","WILDLIFE_HABITAT","0"
