TABLE_NUMBER,TABLE,TABLE_NAME,SUBTABLE_NUMBER,SUBTABLE,HEADER,DESCRIPTION,FOOTNOTE
12,CUT,Timber harvesting,4,CUT_FORESTER,Forester was used,"timber harvesting status, products harvested, reasons for harvesting, and use of a forester",
13,NTFP,Nontimber forest products,1,NTFP_TYPE,Type of products harvested,types of nontimber forest products harvested and reasons for harvesting,NOT_MUTUAL
13,NTFP,Nontimber forest products,2,NTFP_WHY,Reasons for harvesting,types of nontimber forest products harvested and reasons for harvesting,NOT_MUTUAL
14,ACT,Past management activities,,,Activity,past (previous 5 years) management activities,NOT_MUTUAL
15,FUT,Future management activities,,,Future activity,future (next 5 years) management activities,NOT_MUTUAL
16,CERT,Green certification,1,CERT_KNOW,Familiarity,familiarity with and participation in green certification programs,
16,CERT,Green certification,2,CERT,Currently green certified,familiarity with and participation in green certification programs,
17,TAX,Property tax programs,1,TAX_KNOW,Familiarity,familiarity with and participation in property tax programs,
17,TAX,Property tax programs,2,TAX,Currently enrolled,familiarity with and participation in property tax programs,
18,EASE,Conservation easements,1,EASE_KNOW,Familiarity,familiarity with and current and future participation in conservation easements,
18,EASE,Conservation easements,2,EASE,Has an easement,familiarity with and current and future participation in conservation easements,
18,EASE,Conservation easements,3,EASE_5YR,Future participation,familiarity with and current and future participation in conservation easements,
19,COST,Cost-share programs,1,COST_KNOW,Familiarity,familiarity with and participation in cost-share programs,
19,COST,Cost-share programs,2,COST_5YR,Has participated,familiarity with and participation in cost-share programs,
20,CARBON,Carbon sequestration programs,1,CARBON_KNOW,Familiarity,familiarity with and participation in carbon sequestration programs,
20,CARBON,Carbon sequestration programs,2,CARBON,Currently participating,familiarity with and participation in carbon sequestration programs,
21,LEASE,Leasing,1,LEASE,Have leased,past and future participation in leasing and leasing activities,
21,LEASE,Leasing,2,LEASE_ACT,Lease activities,past and future participation in leasing activities,NOT_MUTUAL
21,LEASE,Leasing,3,LEASE_5YR,Lease in next 5 years,past and future participation in leasing activities,
22,REC,Recreation,1,REC_WHO,People recreating,who has recreated and recreation activities in previous 5 years,NOT_MUTUAL
22,REC,Recreation,2,REC_HOW,Recreation activities,who has recreated and recreation activities in previous 5 years,NOT_MUTUAL
23,POST,Posting,1,POST,Land is posted,land posting status,
23,POST,Posting,2,POST_RESTR,Posted restrictions,land posting status,NOT_MUTUAL
24,ADVICE,Advice,1,ADVICE,Advice received,"advice received, methods, and sources in previous 5 years",
24,ADVICE,Advice,2,ADV_TOP,Advice topic,"advice received, methods, and sources in previous 5 years",NOT_MUTUAL
24,ADVICE,Advice,3,ADV_METH,Method,"advice received, methods, and sources in previous 5 years",NOT_MUTUAL
24,ADVICE,Advice,4,ADV_SRC,Source,"advice received, methods, and sources in previous 5 years",NOT_MUTUAL
25,ASSIST,"Preferred assistance topics, methods, and programs/policies",1,INFO,Preferred assistance topic,"preferred assistance topics, methods, and programs/policies",NOT_MUTUAL
25,ASSIST,"Preferred assistance topics, methods, and programs/policies",2,HELP_TYPE,Preferred assistance method,"preferred assistance topics, methods, and programs/policies",NOT_MUTUAL
25,ASSIST,"Preferred assistance topics, methods, and programs/policies",3,HELP,Preferred program/policy assistance,"preferred assistance topics, methods, and programs/policies",NOT_MUTUAL
26.1,CNC_1,Concerns,1,CNC_AIR,Air pollution,landowner concerns,
26.1,CNC_1,Concerns,2,CNC_CLIM,Climate change,landowner concerns,
26.1,CNC_1,Concerns,3,CNC_ANIM,Animal damage,landowner concerns,
26.1,CNC_1,Concerns,4,CNC_DEV,Development,landowner concerns,
26.1,CNC_1,Concerns,5,CNC_WAT_LACK,Drought,landowner concerns,
26.1,CNC_1,Concerns,6,CNC_OHV,Off-road vehicles,landowner concerns,
26.2,CNC_2,Concerns,1,CNC_GOVT,Government regulation,CONTINUED,
26.2,CNC_2,Concerns,2,CNC_TAX,Property taxes,CONTINUED,
26.2,CNC_2,Concerns,3,CNC_INVA,Invasive plants,CONTINUED,
26.2,CNC_2,Concerns,4,CNC_HEIR,Keeping land intact,CONTINUED,
26.2,CNC_2,Concerns,5,CNC_DUMP,Dumping or vandalism,CONTINUED,
26.2,CNC_2,Concerns,6,CNC_TRES,Trespassing or poaching,CONTINUED,
26.3,CNC_3,Concerns,1,CNC_INS,Insects or diseases,CONTINUED,
26.3,CNC_3,Concerns,2,CNC_WAT_POL,Water pollution,CONTINUED,
26.3,CNC_3,Concerns,3,CNC_FIRE,Wildfire,CONTINUED,
26.3,CNC_3,Concerns,4,CNC_STORM,Wind or ice storms,CONTINUED,
27,TRAN_FUT,Future land transfer,1,TRAN_FUT,Likelihood of transfer in next 5 years,likelihood of transfer in next 5 years and likely transfer recipient,
27,TRAN_FUT,Future land transfer,2,TRAN_FUT_TO,Transfer recipient,likelihood of transfer in next 5 years and likely transfer recipient,NOT_MUTUAL
28,ATT,Conservation attitudes,1,ATT_WOODED,Keep wooded land wooded,conservation attitudes,
28,ATT,Conservation attitudes,2,ATT_SELL,Sell land,conservation attitudes,
28,ATT,Conservation attitudes,3,KNOW_WOOD,Know land,conservation attitudes,
28,ATT,Conservation attitudes,4,WANT_KNOW_WOOD,Want to know more,conservation attitudes,
28,ATT,Conservation attitudes,5,EMO_WOOD,Strong emotional tie,conservation attitudes,
28,ATT,Conservation attitudes,6,WOOD_COMMUNITY,Provides community benefits,conservation attitudes,
29,DEMO,Landowner demographics,1,OWN1_AGE_CAT,Age (years),landowner demographics,
29,DEMO,Landowner demographics,2,OWN1_GENDER,Gender,landowner demographics,
29,DEMO,Landowner demographics,3,OWN1_EDU,Education level,landowner demographics,
29,DEMO,Landowner demographics,4,OWN1_ETH,Hispanic/Latino,landowner demographics,
29,DEMO,Landowner demographics,5,OWN1_RACE,Race,landowner demographics,NOT_MUTUAL
29,DEMO,Landowner demographics,NA,FOOTNOTE,NA,landowner demographics,
30,INC_WOOD_CAT,Income,,,Income from forest land (percentage),income from forest land for primary owner,
30,INC_WOOD_CAT,Income,NA,FOOTNOTE,NA,income from forest land for primary owner,
