"VARIABLE","LEVEL","LABEL","ORDER"
"DISABILITY_BLIND",1,"Yes",1
"DISABILITY_MOBILITY",0,"No",2
"DISABILITY_MOBILITY",1,"Yes",1
"EASEMENT",0,"No",2
"EASEMENT",1,"Yes",1
"EASEMENT_FUTURE",-2,"Not applicable",5
"EASEMENT_FUTURE",0,"No",2
"EASEMENT_FUTURE",1,"Yes",1
"EASEMENT_FUTURE",2,"Maybe",3
"EASEMENT_FUTURE",3,"Don't know",4
"EDUCATION",1,"Less than 12th grade",1
"EDUCATION",2,"High school/GED",2
"EDUCATION",3,"Some college",3
"EDUCATION",4,"Associate degree",4
"EDUCATION",5,"Bachelor's degree",5
"EDUCATION",6,"Advanced degree",6
"FARM",0,"No",2
"FARM",1,"Yes",1
"FIRE_HAZARD_REDUCTION",1,"Reduced fire hazard",3
"FUTURE_AFFORESTATION",1,"Afforest other land",11
"FUTURE_BUY",1,"Buy woodland",9
"FUTURE_DEFORESTATION",1,"Convert woodland",10
"FUTURE_FIREWOOD",1,"Harvest firewood",3
"FUTURE_HEIRS",1,"Transfer land to heirs",7
"FUTURE_MINIMAL",1,"Minimal activity",2
"FUTURE_NO_ACTIVITY",1,"No activity",1
"FUTURE_NO_PLANS",1,"No plans",12
"FUTURE_NTFP",1,"Collect NTFPs",5
"FUTURE_OTHER",1,"Other",13
"FUTURE_SAWLOGS",1,"Harvest sawlogs or pulpwood",4
"FUTURE_SELL",1,"Sell some or all of woodland",6
"FUTURE_SUBDIVIDE",1,"Subdivide woodland",7
"FUTURE_UNKNOWN",1,"Unknown",14
"GENDER",0,"Female",1
"GENDER",1,"Male",2
"GENDER",2,"Unreported",3
"HEALTH_AIR",1,"1. Great Concern",1
"HEALTH_AIR",2,"2",2
"HEALTH_AIR",3,"3",3
"HEALTH_AIR",4,"4",4
"HEALTH_AIR",5,"5",5
"HEALTH_AIR",6,"6",6
"HEALTH_AIR",7,"7. No concern",7
"HEALTH_DOMESTIC_ANIMALS",1,"1. Great Concern",1
"HEALTH_DOMESTIC_ANIMALS",2,"2",2
"HEALTH_DOMESTIC_ANIMALS",3,"3",3
"HEALTH_DOMESTIC_ANIMALS",4,"4",4
"HEALTH_DOMESTIC_ANIMALS",5,"5",5
"HEALTH_DOMESTIC_ANIMALS",6,"6",6
"HEALTH_DOMESTIC_ANIMALS",7,"7. No concern",7
"HEALTH_EXOTICS",1,"1. Great Concern",1
"HEALTH_EXOTICS",2,"2",2
"HEALTH_EXOTICS",3,"3",3
"HEALTH_EXOTICS",4,"4",4
"HEALTH_EXOTICS",5,"5",5
"HEALTH_EXOTICS",6,"6",6
"HEALTH_EXOTICS",7,"7. No concern",7
"HEALTH_FIRE",1,"1. Great Concern",1
"HEALTH_FIRE",2,"2",2
"HEALTH_FIRE",3,"3",3
"HEALTH_FIRE",4,"4",4
"HEALTH_FIRE",5,"5",5
"HEALTH_FIRE",6,"6",6
"HEALTH_FIRE",7,"7. No concern",7
"HEALTH_INSECTS",1,"1. Great Concern",1
"HEALTH_INSECTS",2,"2",2
"HEALTH_INSECTS",3,"3",3
"HEALTH_INSECTS",4,"4",4
"HEALTH_INSECTS",5,"5",5
"HEALTH_INSECTS",6,"6",6
"HEALTH_INSECTS",7,"7. No concern",7
"HEALTH_REGENERATION",1,"1. Great Concern",1
"HEALTH_REGENERATION",2,"2",2
"HEALTH_REGENERATION",3,"3",3
"HEALTH_REGENERATION",4,"4",4
"HEALTH_REGENERATION",5,"5",5
"HEALTH_REGENERATION",6,"6",6
"HEALTH_REGENERATION",7,"7. No concern",7
"HEALTH_STORMS",1,"1. Great Concern",1
"HEALTH_STORMS",2,"2",2
"HEALTH_STORMS",3,"3",3
"HEALTH_STORMS",4,"4",4
"HEALTH_STORMS",5,"5",5
"HEALTH_STORMS",6,"6",6
"HEALTH_STORMS",7,"7. No concern",7
"HEALTH_WILD_ANIMALS",1,"1. Great Concern",1
"HEALTH_WILD_ANIMALS",2,"2",2
"HEALTH_WILD_ANIMALS",3,"3",3
"HEALTH_WILD_ANIMALS",4,"4",4
"HEALTH_WILD_ANIMALS",5,"5",5
"HEALTH_WILD_ANIMALS",6,"6",6
"HEALTH_WILD_ANIMALS",7,"7. No concern",7
"HISPANIC",0,"No",2
"HISPANIC",1,"Yes",1
"HRV_CLEAR",-2,"Not applicable",12
"HRV_CLEAR",1,"Clear land",3
"HRV_CONSULT",-2,"Not applicable",4
"HRV_CONSULT",0,"No",2
"HRV_CONSULT",1,"Yes",1
"HRV_CONSULT",2,"Don't remember",3
"HRV_FIRE",1,"Firewood",3
"HRV_HUNT",1,"Improve hunting",7
"HRV_MATURE",1,"Timber was mature",2
"HRV_MONEY",1,"Needed money",4
"HRV_OTHER",1,"Other",6
"HRV_PLAN",1,"Following management plan",1
"HRV_POSTS",1,"Posts",5
"HRV_PRICE",1,"Good timber prices",6
"HRV_PULP",1,"Pulpwood",2
"HRV_REASON_OTHER",1,"Other",11
"HRV_RECENT",-2,"Not applicable",4
"HRV_RECENT",0,"No",2
"HRV_RECENT",1,"Yes",1
"HRV_RECENT",2,"Don't remember",3
"HRV_RECREATE",1,"Improve scenery and recreation",8
"HRV_REMAINING_TREES",1,"Stand improvement",10
"HRV_SALVAGE",1,"Salvage harvest",9
"HRV_SAW",-2,"Not applicable",7
"HRV_SAW",1,"Sawlogs",1
"HRV_USE",1,"Wood for personal use",5
"HRV_VENEER",1,"Veneer",4
"INCOME",-2,"Not applicable",6
"INCOME",20,"Less than 25,000",1
"INCOME",25,"25,000 to 49,999",2
"INCOME",50,"50,000 to 99,999",3
"INCOME",100,"100,000 to 199,999",4
"INCOME",200,"200,000 or more",5
"LEARN_CONFERENCES",1,"1. Very useful",1
"LEARN_CONFERENCES",2,"2",2
"LEARN_CONFERENCES",3,"3",3
"LEARN_CONFERENCES",4,"4",4
"LEARN_CONFERENCES",5,"5",5
"LEARN_CONFERENCES",6,"6",6
"LEARN_CONFERENCES",7,"7. Not useful",7
"LEARN_CONFERENCES",9,"Don't know",8
"LEARN_FORESTER",1,"1. Very useful",1
"LEARN_FORESTER",2,"2",2
"LEARN_FORESTER",3,"3",3
"LEARN_FORESTER",4,"4",4
"LEARN_FORESTER",5,"5",5
"LEARN_FORESTER",6,"6",6
"LEARN_FORESTER",7,"7. Not useful",7
"LEARN_FORESTER",9,"Don't know",8
"LEARN_INTERNET",1,"1. Very useful",1
"LEARN_INTERNET",2,"2",2
"LEARN_INTERNET",3,"3",3
"LEARN_INTERNET",4,"4",4
"LEARN_INTERNET",5,"5",5
"LEARN_INTERNET",6,"6",6
"LEARN_INTERNET",7,"7. Not useful",7
"LEARN_INTERNET",9,"Don't know",8
"LEARN_LOGGER",1,"1. Very useful",1
"LEARN_LOGGER",2,"2",2
"LEARN_LOGGER",3,"3",3
"LEARN_LOGGER",4,"4",4
"LEARN_LOGGER",5,"5",5
"LEARN_LOGGER",6,"6",6
"LEARN_LOGGER",7,"7. Not useful",7
"LEARN_LOGGER",9,"Don't know",8
"LEARN_MEMBERSHIP",1,"1. Very useful",1
"LEARN_MEMBERSHIP",2,"2",2
"LEARN_MEMBERSHIP",3,"3",3
"LEARN_MEMBERSHIP",4,"4",4
"LEARN_MEMBERSHIP",5,"5",5
"LEARN_MEMBERSHIP",6,"6",6
"LEARN_MEMBERSHIP",7,"7. Not useful",7
"LEARN_MEMBERSHIP",9,"Don't know",8
"LEARN_NEWSLETTERS",1,"1. Very useful",1
"LEARN_NEWSLETTERS",2,"2",2
"LEARN_NEWSLETTERS",3,"3",3
"LEARN_NEWSLETTERS",4,"4",4
"LEARN_NEWSLETTERS",5,"5",5
"LEARN_NEWSLETTERS",6,"6",6
"LEARN_NEWSLETTERS",7,"7. Not useful",7
"LEARN_NEWSLETTERS",9,"Don't know",8
"LEARN_OWNER",1,"1. Very useful",1
"LEARN_OWNER",2,"2",2
"LEARN_OWNER",3,"3",3
"LEARN_OWNER",4,"4",4
"LEARN_OWNER",5,"5",5
"LEARN_OWNER",6,"6",6
"LEARN_OWNER",7,"7. Not useful",7
"LEARN_OWNER",9,"Don't know",8
"LEARN_PUBS",1,"1. Very useful",1
"LEARN_PUBS",2,"2",2
"LEARN_PUBS",3,"3",3
"LEARN_PUBS",4,"4",4
"LEARN_PUBS",5,"5",5
"LEARN_PUBS",6,"6",6
"LEARN_PUBS",7,"7. Not useful",7
"LEARN_PUBS",9,"Don't know",8
"LEARN_TV",1,"1. Very useful",1
"LEARN_TV",2,"2",2
"LEARN_TV",3,"3",3
"LEARN_TV",4,"4",4
"LEARN_TV",5,"5",5
"LEARN_TV",6,"6",6
"LEARN_TV",7,"7. Not useful",7
"LEARN_TV",9,"Don't know",8
"LEARN_VIDEOS",1,"1. Very useful",1
"LEARN_VIDEOS",2,"2",2
"LEARN_VIDEOS",3,"3",3
"LEARN_VIDEOS",4,"4",4
"LEARN_VIDEOS",5,"5",5
"LEARN_VIDEOS",6,"6",6
"LEARN_VIDEOS",7,"7. Not useful",7
"LEARN_VIDEOS",9,"Don't know",8
"LEARN_VISITING",1,"1. Very useful",1
"LEARN_VISITING",2,"2",2
"LEARN_VISITING",3,"3",3
"LEARN_VISITING",4,"4",4
"LEARN_VISITING",5,"5",5
"LEARN_VISITING",6,"6",6
"LEARN_VISITING",7,"7. Not useful",7
"LEARN_VISITING",9,"Don't know",8
"LEASE_GRAZE_2",-2,"Not applicable",7
"LEASE_GRAZE_2",1,"Grazing livestock",3
"LEASE_HUNT_2",1,"Hunting",1
"LEASE_NTFP_2",1,"Collect NTFPs",5
"LEASE_OTHER_2",1,"Other",6
"LEASE_RECENT",-2,"Not applicable",4
"LEASE_RECENT",0,"No",2
"LEASE_RECENT",1,"Yes",1
"LEASE_RECENT",2,"Don't remember",3
"LEASE_RECREATE_2",1,"Recreation (other than hunting)",2
"LEASE_TIMBER_2",1,"Timber production",4
"LEASED",0,"No",2
"LEASED",1,"Yes",1
"MANAGEMENT_PLAN",0,"No",2
"MANAGEMENT_PLAN",1,"Yes",1
"MANAGEMENT_PLAN",2,"Don't know",3
"MANAGER_FAMILY",1,"Family",2
"MANAGER_FORESTER",1,"Forester",3
"MANAGER_LEASEE",1,"Leasees",6
"MANAGER_LOGGER",1,"Logger",4
"MANAGER_OTHER",1,"Other",7
"MANAGER_OWNER",1,"Owner and/or spouse",1
"MANAGER_PARTNER",1,"Business partner",5
"NTFP_COLLECT",0,"No",2
"NTFP_COLLECT",1,"Yes",1
"NTFP_CULTURAL",1,"Cultural or religious products",4
"NTFP_DECORATIVE",1,"Decorative",3
"NTFP_EDIBLE",-2,"Not applicable",6
"NTFP_EDIBLE",1,"Edibles",1
"NTFP_MEDICINAL",1,"Medicinals",2
"NTFP_OTHER",1,"Other",5
"NTFP_PERSONAL",1,"For personal use",2
"NTFP_RECENT",-2,"Not applicable",4
"NTFP_RECENT",0,"No",2
"NTFP_RECENT",1,"Yes",1
"NTFP_RECENT",2,"Don't remember",3
"NTFP_SALE",-2,"Not applicable",3
"NTFP_SALE",1,"For sale",1
"OBJ_AESTHETICS",1,"1. Very important",1
"OBJ_AESTHETICS",2,"2",2
"OBJ_AESTHETICS",3,"3",3
"OBJ_AESTHETICS",4,"4",4
"OBJ_AESTHETICS",5,"5",5
"OBJ_AESTHETICS",6,"6",6
"OBJ_AESTHETICS",7,"7. Not important",7
"OBJ_BIODIVERSITY",1,"1. Very important",1
"OBJ_BIODIVERSITY",2,"2",2
"OBJ_BIODIVERSITY",3,"3",3
"OBJ_BIODIVERSITY",4,"4",4
"OBJ_BIODIVERSITY",5,"5",5
"OBJ_BIODIVERSITY",6,"6",6
"OBJ_BIODIVERSITY",7,"7. Not important",7
"OBJ_FARM",1,"1. Very important",1
"OBJ_FARM",2,"2",2
"OBJ_FARM",3,"3",3
"OBJ_FARM",4,"4",4
"OBJ_FARM",5,"5",5
"OBJ_FARM",6,"6",6
"OBJ_FARM",7,"7. Not important",7
"OBJ_FIREWOOD",1,"1. Very important",1
"OBJ_FIREWOOD",2,"2",2
"OBJ_FIREWOOD",3,"3",3
"OBJ_FIREWOOD",4,"4",4
"OBJ_FIREWOOD",5,"5",5
"OBJ_FIREWOOD",6,"6",6
"OBJ_FIREWOOD",7,"7. Not important",7
"OBJ_HOME",1,"1. Very important",1
"OBJ_HOME",2,"2",2
"OBJ_HOME",3,"3",3
"OBJ_HOME",4,"4",4
"OBJ_HOME",5,"5",5
"OBJ_HOME",6,"6",6
"OBJ_HOME",7,"7. Not important",7
"OBJ_HUNT",1,"1. Very important",1
"OBJ_HUNT",2,"2",2
"OBJ_HUNT",3,"3",3
"OBJ_HUNT",4,"4",4
"OBJ_HUNT",5,"5",5
"OBJ_HUNT",6,"6",6
"OBJ_HUNT",7,"7. Not important",7
"OBJ_INVEST",1,"1. Very important",1
"OBJ_INVEST",2,"2",2
"OBJ_INVEST",3,"3",3
"OBJ_INVEST",4,"4",4
"OBJ_INVEST",5,"5",5
"OBJ_INVEST",6,"6",6
"OBJ_INVEST",7,"7. Not important",7
"OBJ_LEGACY",1,"1. Very important",1
"OBJ_LEGACY",2,"2",2
"OBJ_LEGACY",3,"3",3
"OBJ_LEGACY",4,"4",4
"OBJ_LEGACY",5,"5",5
"OBJ_LEGACY",6,"6",6
"OBJ_LEGACY",7,"7. Not important",7
"OBJ_NTFP",1,"1. Very important",1
"OBJ_NTFP",2,"2",2
"OBJ_NTFP",3,"3",3
"OBJ_NTFP",4,"4",4
"OBJ_NTFP",5,"5",5
"OBJ_NTFP",6,"6",6
"OBJ_NTFP",7,"7. Not important",7
"OBJ_PRIVACY",1,"1. Very important",1
"OBJ_PRIVACY",2,"2",2
"OBJ_PRIVACY",3,"3",3
"OBJ_PRIVACY",4,"4",4
"OBJ_PRIVACY",5,"5",5
"OBJ_PRIVACY",6,"6",6
"OBJ_PRIVACY",7,"7. Not important",7
"OBJ_RECREATE",1,"1. Very important",1
"OBJ_RECREATE",2,"2",2
"OBJ_RECREATE",3,"3",3
"OBJ_RECREATE",4,"4",4
"OBJ_RECREATE",5,"5",5
"OBJ_RECREATE",6,"6",6
"OBJ_RECREATE",7,"7. Not important",7
"OBJ_TIMBER",1,"1. Very important",1
"OBJ_TIMBER",2,"2",2
"OBJ_TIMBER",3,"3",3
"OBJ_TIMBER",4,"4",4
"OBJ_TIMBER",5,"5",5
"OBJ_TIMBER",6,"6",6
"OBJ_TIMBER",7,"7. Not important",7
"OWNER_BIZ_PARTNER",1,"Business partnership",6
"OWNER_CLUB",1,"Club or association",9
"OWNER_FAM_PARTNER",1,"Family partnership or corporation",2
"OWNER_FMC",1,"Forest management company",4
"OWNER_FOREST_INDUSTRY",1,"Forest industry",5
"OWNER_INDIV_JOINT",1,"Individual or joint",1
"OWNER_NPO",1,"Nonprofit organization",8
"OWNER_OTHER",1,"Other",11
"OWNER_OTHER_CORP",1,"Corporation",7
"OWNER_TIMO",1,"Timber investment management organization",3
"OWNER_TRUST",1,"Trust or estate",10
"PRIMARY_RESIDENCE_2",0,"No",2
"PRIMARY_RESIDENCE_2",1,"Yes",1
"RACE_ASIAN",1,"Asian",2
"RACE_BLACK",1,"Black/African American",3
"RACE_HAWAIIAN",1,"Native Hawaiian/ Other Islander",4
"RACE_INDIAN",1,"American Indian or Alaska Native",1
"RACE_WHITE",1,"White",5
"RESTRICT_HARVESTING",1,"Timber harvesting",3
"RESTRICT_LAND_USE",-2,"Not applicable",4
"RESTRICT_LAND_USE",1,"Land use conversion",1
"RESTRICT_OTHER",1,"Other",4
"RESTRICT_SUBDIVISION",1,"Subdivision",2
"RETIRED",0,"No",2
"RETIRED",1,"Yes",1
"ROAD_MAINTENANCE",1,"Built or maintained roads or trails",5
"SECONDARY_RESIDENCE_2",0,"No",2
"SECONDARY_RESIDENCE_2",1,"Yes",1
"SITE_PREP",1,"Site preparation",1
"TENURE_CAT",0,"<10",0
"TENURE_CAT",10,"10-24",10
"TENURE_CAT",25,"25-49",25
"TENURE_CAT",50,"50+",50
"TIMBER_HARVEST",0,"No",2
"TIMBER_HARVEST",1,"Yes",1
"TRANSFER",0,"Never",1
"TRANSFER",1,"Once",2
"TRANSFER",2,"2 to 5 times",3
"TRANSFER",6,"6 or more times",4
"TREE_PLANTING",1,"Planted trees",2
"TRN_DEVELOPER",-2,"Not applicable",9
"TRN_DEVELOPER",1,"Land developer",3
"TRN_FAMILY",1,"Children / family",1
"TRN_FOREST_INDUSTRY",1,"Forest industry",5
"TRN_GOV",1,"Government",7
"TRN_INDIVIDUAL",1,"Other individual(s)",2
"TRN_LOGGER",1,"Logger",6
"TRN_OTHER",1,"Other",8
"TRN_RECENT",-2,"Not applicable",3
"TRN_RECENT",0,"No",2
"TRN_RECENT",1,"Yes",1
"TRN_TIMO",1,"Timber management investment organization",4
"WILDLIFE_HABITAT",1,"Improved wildlife habitat",6
