"","VARIABLE","LEVEL"
"2499","MAN_PLAN_NO_OTH","0"
"2544","MAN_SPOUSE","0"
"2554","NTFP_DECO_NO","0"
"2559","NTFP_DECO_NO","1"
"2564","NTFP_DECO_PERS","0"
"2574","NTFP_DECO_SALE","0"
"2584","NTFP_EDIB_NO","0"
"2589","NTFP_EDIB_NO","1"
"2594","NTFP_EDIB_PERS","0"
"2604","NTFP_EDIB_SALE","0"
"2614","NTFP_LAND_NO","0"
"2619","NTFP_LAND_NO","1"
"2624","NTFP_LAND_PERS","0"
"2634","NTFP_LAND_SALE","0"
"2644","NTFP_MEDI_NO","0"
"2649","NTFP_MEDI_NO","1"
"2654","NTFP_MEDI_PERS","0"
"2664","NTFP_MEDI_SALE","0"
"2674","NTFP_OTH_NO","0"
"2679","NTFP_OTH_NO","1"
"2684","NTFP_OTH_PERS","0"
"2694","NTFP_OTH_SALE","0"
"3034","OBJ_OTH","1"
"3039","OBJ_OTH","2"
"3044","OBJ_OTH","3"
"3049","OBJ_OTH","4"
"3054","OBJ_OTH","5"
"3059","OBJ_OTH","8"
"3214","OWN1_AGE",NA
"3241","OWN1_EDU","-2"
"3276","OWN1_ETH","-2"
"3291","OWN1_GENDER","-2"
"3306","OWN1_RACE_ASIAN","-2"
"3311","OWN1_RACE_ASIAN","0"
"3321","OWN1_RACE_BLACK","-2"
"3326","OWN1_RACE_BLACK","0"
"3336","OWN1_RACE_HAWAIIAN","-2"
"3341","OWN1_RACE_HAWAIIAN","0"
"3351","OWN1_RACE_INDIAN","-2"
"3356","OWN1_RACE_INDIAN","0"
"3366","OWN1_RACE_WHITE","-2"
"3371","OWN1_RACE_WHITE","0"
"3381","OWN1_RET","-2"
"3396","OWN1_SOC_NWOS","-2"
"3401","OWN1_SOC_NWOS","0"
"3406","OWN1_SOC_NWOS","1"
"3411","OWN1_SOC_NWOS","10"
"3416","OWN1_SOC_NWOS","11"
"3421","OWN1_SOC_NWOS","12"
"3426","OWN1_SOC_NWOS","13"
"3431","OWN1_SOC_NWOS","2"
"3436","OWN1_SOC_NWOS","3"
"3441","OWN1_SOC_NWOS","4"
"3446","OWN1_SOC_NWOS","5"
"3451","OWN1_SOC_NWOS","6"
"3456","OWN1_SOC_NWOS","7"
"3461","OWN1_SOC_NWOS","8"
"3466","OWN1_SOC_NWOS","9"
"3471","OWN1_SOC_NWOS","99"
"3476","OWN2_AGE",NA
"3478","OWN2_AGE_CAT","-2"
"3483","OWN2_AGE_CAT","16"
"3488","OWN2_AGE_CAT","18"
"3493","OWN2_AGE_CAT","45"
"3498","OWN2_AGE_CAT","55"
"3503","OWN2_AGE_CAT","65"
"3508","OWN2_AGE_CAT","75"
"3513","OWN2_EDU","-2"
"3518","OWN2_EDU","1"
"3523","OWN2_EDU","2"
"3528","OWN2_EDU","3"
"3533","OWN2_EDU","4"
"3538","OWN2_EDU","5"
"3543","OWN2_EDU","6"
"3548","OWN2_ETH","-2"
"3553","OWN2_ETH","0"
"3558","OWN2_ETH","1"
"3563","OWN2_GENDER","-2"
"3568","OWN2_GENDER","1"
"3573","OWN2_GENDER","2"
"3578","OWN2_RACE_ASIAN","-2"
"3583","OWN2_RACE_ASIAN","0"
"3588","OWN2_RACE_ASIAN","1"
"3593","OWN2_RACE_BLACK","-2"
"3598","OWN2_RACE_BLACK","0"
"3603","OWN2_RACE_BLACK","1"
"3608","OWN2_RACE_HAWAIIAN","-2"
"3613","OWN2_RACE_HAWAIIAN","0"
"3618","OWN2_RACE_HAWAIIAN","1"
"3623","OWN2_RACE_INDIAN","-2"
"3628","OWN2_RACE_INDIAN","0"
"3633","OWN2_RACE_INDIAN","1"
"3638","OWN2_RACE_WHITE","-2"
"3643","OWN2_RACE_WHITE","0"
"3648","OWN2_RACE_WHITE","1"
"3653","OWN2_RET","-2"
"3658","OWN2_RET","0"
"3663","OWN2_RET","1"
"3668","OWN2_SOC_NWOS","-2"
"3673","OWN2_SOC_NWOS","0"
"3678","OWN2_SOC_NWOS","1"
"3683","OWN2_SOC_NWOS","10"
"3688","OWN2_SOC_NWOS","11"
"3693","OWN2_SOC_NWOS","12"
"3698","OWN2_SOC_NWOS","13"
"3703","OWN2_SOC_NWOS","2"
"3708","OWN2_SOC_NWOS","3"
"3713","OWN2_SOC_NWOS","4"
"3718","OWN2_SOC_NWOS","5"
"3723","OWN2_SOC_NWOS","6"
"3728","OWN2_SOC_NWOS","7"
"3733","OWN2_SOC_NWOS","8"
"3738","OWN2_SOC_NWOS","9"
"3743","OWN2_SOC_NWOS","99"
"3748","OWNERS_NUMBER",NA
"3817","PARC_MULTI_NUMBER",NA
"3829","POST_RESTR_HUNT","-2"
"3834","POST_RESTR_HUNT","0"
"3844","POST_RESTR_OTH","-2"
"3849","POST_RESTR_OTH","0"
"3864","POST_RESTR_TRES","0"
"3874","POST_RESTR_VEH","-2"
"3879","POST_RESTR_VEH","0"
"3889","REC_HOW_BIKE","-2"
"3894","REC_HOW_BIKE","0"
"3904","REC_HOW_CAMP","-2"
"3909","REC_HOW_CAMP","0"
"3919","REC_HOW_FISH","-2"
"3924","REC_HOW_FISH","0"
"3934","REC_HOW_HIKE","-2"
"3939","REC_HOW_HIKE","0"
"3949","REC_HOW_HORSE","-2"
"3954","REC_HOW_HORSE","0"
"3969","REC_HOW_HUNT","0"
"3979","REC_HOW_OHV","-2"
"3984","REC_HOW_OHV","0"
"3994","REC_HOW_OTH","-2"
"3999","REC_HOW_OTH","0"
"4009","REC_HOW_SKI","-2"
"4014","REC_HOW_SKI","0"
"4024","REC_WHO_CHILD","0"
"4034","REC_WHO_FAM","0"
"4044","REC_WHO_FRND","0"
"4054","REC_WHO_NEIGH","0"
"4064","REC_WHO_NONE","0"
"4074","REC_WHO_OTH","0"
"4084","REC_WHO_OWN","0"
"4094","REC_WHO_PUB_FEE","0"
"4104","REC_WHO_PUB_FREE","0"
"4154","TENURE",NA
"4176","TOTAL","1"
"4226","TRAN_FUT_TO_BUS","-2"
"4231","TRAN_FUT_TO_BUS","0"
"4241","TRAN_FUT_TO_CHILD","-2"
"4246","TRAN_FUT_TO_CHILD","0"
"4256","TRAN_FUT_TO_CHILD_NUMBER",NA
"4258","TRAN_FUT_TO_DONTKNOW","-2"
"4263","TRAN_FUT_TO_DONTKNOW","0"
"4273","TRAN_FUT_TO_FAM","-2"
"4278","TRAN_FUT_TO_FAM","0"
"4288","TRAN_FUT_TO_FAM_NUMBER",NA
"4290","TRAN_FUT_TO_GOV","-2"
"4295","TRAN_FUT_TO_GOV","0"
"4305","TRAN_FUT_TO_INDIV","-2"
"4310","TRAN_FUT_TO_INDIV","0"
"4320","TRAN_FUT_TO_OTH","-2"
"4325","TRAN_FUT_TO_OTH","0"
"4335","TRAN_FUT_WHY_COST","-2"
"4340","TRAN_FUT_WHY_COST","0"
"4350","TRAN_FUT_WHY_INV","-2"
"4355","TRAN_FUT_WHY_INV","0"
"4365","TRAN_FUT_WHY_MARKET","-2"
"4370","TRAN_FUT_WHY_MARKET","0"
"4380","TRAN_FUT_WHY_MONEY","-2"
"4385","TRAN_FUT_WHY_MONEY","0"
"4395","TRAN_FUT_WHY_NOINTEREST","-2"
"4400","TRAN_FUT_WHY_NOINTEREST","0"
"4410","TRAN_FUT_WHY_OTH","-2"
"4415","TRAN_FUT_WHY_OTH","0"
"4425","TRAN_FUT_WHY_READY","-2"
"4430","TRAN_FUT_WHY_READY","0"
"4455","TRAN_TO_BUS","-2"
"4460","TRAN_TO_BUS","0"
"4475","TRAN_TO_CHILD","0"
"4485","TRAN_TO_FAM","-2"
"4490","TRAN_TO_FAM","0"
"4500","TRAN_TO_GOV","-2"
"4505","TRAN_TO_GOV","0"
"4515","TRAN_TO_INDIV","-2"
"4520","TRAN_TO_INDIV","0"
"4530","TRAN_TO_OTH","-2"
"4535","TRAN_TO_OTH","0"
